key,es,granaino
"home.switch-hint","<h3>¡Dale al interruptor y traduce la página al granaíno!</h3>","<h3>¡Dale al interruptor y vuelve al castellano, prenda!</h3>"
"home.nuestros-servicios","<h2>nuestros servicios</h2>","<h2>Cucha polla to lo que hacemos&nbsp;</h2>"
"home.opiniones-sobre-nosotros","<h2><span class=""color-background"">OPINIONES SOBRE NosoTROS</span></h2>","<h2><span class=""color-background"">Que arte tenemos</span></h2>"
"home.spotify-nuestro-repertorio-tan","<p id=""isPasted"">Spotify? Nuestro repertorio es tan amplio que podrás escuchar canciones de todas las épocas y estilos. Además, tenemos vestuario para cualquier tipo de celebración.</p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p>","<p>Spotifai? Déjate de pollas, tenemos canciones pa tu pae, pa tu abuelo y pa tu hijo. Además, tenemos más vestuario que la saga Harry Potter.</p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p>"
"home.energia-ilimitada","<h3>Energía ilimitada</h3>","<h3><strong>Energía ilimitada</strong></h3>"
"home.quieres-marcha-has-elegido","<p>Si quieres marcha has elegido la charanga correcta, ya que tenemos más energía que un Monster.</p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p>","<p>Si quieres marcha has triunfao como los chichos, que paece que nos han dao cuerda niño.</p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p>"
"home.nuestra-interaccion-con-publico","<p>Nuestra interacción con el público y nuestras actuaciones alocadas convertirán tu día gris en una experiencia inolvidable.</p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p>","<p>Polla te lo vas a pasar mejor que en una piscina bolas.</p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p>"
"home.nuestra-relacion-quedara-contrato","<p>Nuestra relación no se quedará en un contrato, tendrás colegas para toda la vida.</p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p>","<p>Te tocamos y encima nos vamos de fiesta contigo aes.</p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p>"
"home.escucha-nuestro-ultimo-temazo","<h2>EscUCHA NUESTRO ÚLTIMO TEMAZO!</h2>","<h2>Vaya temilla compae</h2>"
"actuaciones-de-escenario.quieres-darle-evento-toque","<p id=""isPasted""><span class=""color-background""><br></span></p><p style=""text-align: justify;""><span class=""color-primary""><span class=""color-background"">¿Quieres darle a tu evento un toque de alegría y buen rollo? ¡Pues no busques más! Con la Charanga Ponte Una Milnoh, tu graduación, concierto privado o participación en certámenes y concursos de charanga será como un soplo de aire fresco en medio de la naturaleza. Deja que nuestra música fluya como un arroyo cristalino y contagie a todos con su energía positiva. ¡Haz que tu ocasión sea inolvidable con el sonido auténtico y vibrante de nuestra charanga!</span></span></p>","<p id=""isPasted""><span class=""color-background""><br></span></p><p style=""text-align: justify;"">Aquí no existe el miedo escénico ni pollas. Contrátanos y vas a comprobar lo que es un espectáculo con dos cojones. Si hace farta nos hacemos peazos en una graduación, en un certamen o en el escenario de la discoteca tu pueblo.</p>"
"biografia.quienes-sois","<h2>¿Quiénes sois?</h2>","<h2>¿Quién pollas sois?</h2>"
"biografia.2023-alcanzaron-premio-edicion","<p><span class=""color-primary"">En <strong>2023 </strong>alcanzaron el <strong>5º premio en la IX</strong> Edición del <strong>""Festival de Charangas de Poza de la Sal""</strong>. ¡Vaya y que nos digan algo!</span></p>","<p><span class=""color-primary"">En <strong>2023 </strong>alcanzaron el <strong>5º premio en la IX</strong> Edición del <strong>""Festival de Charangas de Poza de la Sal""</strong>. ¡Vaya y que nos digan argo!</span></p>"
"contacto.nos-gusta-mas-whatsapp","<h2>Nos gusta más el whatsapp</h2>","<h2>Somos más der wasap</h2>"
"contacto.pulsa-icono-whatsapp-podras","<h5 style=""text-align: center;""><span class=""color-background"">Pulsa el icono de whatsapp y podrás contactar con el de la foto rápidamente!</span></h5>","<h5 style=""text-align: center;""><span class=""color-background"">Dale al iconico y verás que rápido te pondrás a hablar con nosotros Prenda.</span></h5>"
"despedidas-de-solter.despidete-quien-quieras","<h2>DESPíDETE DE quien tu quieras!</h2>","<h2>Despídete de tu pae si quieres&nbsp;</h2>"
"despedidas-de-solter.con-charanga-ponte-una","<p>Con Charanga Ponte Una Milnoh te puedes despedir hasta de tu perro. Expertos en que disfrutes de tu último día de soltería como el primero. A veces la gente se lo pasa tan bien que ni se casa.</p>","<p>No nos hacemos responsables de que llegue el divorcio antes de la boda, esperemos que tengas pensada la separación de bienes.</p>"
"fiestas-patronales.estas-suerte-charanga-ponte","<p style=""text-align: justify;"" id=""isPasted"">¡Estás de suerte! En Charanga Ponte Una Milnoh ofrecemos:</p><ul><li style=""text-align: justify; line-height: 2;""><strong>&nbsp;Dianas floreadas</strong> que despiertan hasta al más dormilón del lugar.</li><li style=""text-align: justify; line-height: 2;""><strong>Pasacalles</strong> que hacen que hasta las estatuas quieran bailar.&nbsp;</li><li style=""text-align: justify; line-height: 2;""><strong>Tocar en el arroz</strong>, ¡nuestra música añadirá el ingrediente secreto que hace que cada bocado sea una explosión de sabor y alegría!&nbsp;</li><li style=""text-align: justify; line-height: 2;"">Y por supuesto, ¿quién puede resistirse a <strong>las cintas</strong> cuando suenan al ritmo de nuestra charanga? ¡Prepárate para vivir unas fiestas inolvidables con nosotros!</li></ul><p style=""text-align: justify;""> </p><div class=""fr-second-toolbar""></div>","<ul>Pues ahora vas a ver todo lo que hacemos:<ul><li style=""text-align: justify;""><strong>Dianas&nbsp;</strong>que despiertan hasta las piedras.</li><li style=""text-align: justify; line-height: 2;""><strong>Pasacalles</strong> más largos que una mea en una cuesta.&nbsp;</li><li style=""text-align: justify; line-height: 2;"">Hemos tocao y comido en <strong>tantos arroces</strong> que estamos a dos paellas de hablar chino o de volvernos valencianos, lo que pase antes.</li><li style=""text-align: justify; line-height: 2;"">Tocamos también en las <strong>cintas</strong> pero ten polla a pasar por medio.</li></ul></ul><p style=""text-align: justify;""> </p><div class=""fr-second-toolbar""></div>"
"galeria.desde-nuestros-inicios-hasta","<h2>Desde nuestros inicios hasta la actualidad</h2>","<h2>Antes estábamos delgados</h2>"
"galeria.algunas-nuestras-mejores-experiencias","<h2><span class=""color-background"">ALGUNAS DE NUESTRAS MEJORES EXPERIENCIAS...</span></h2>","<h2><span class=""color-background"">Que bien nos lo pasamos</span></h2>"
"pasacalles.acompanamos-pena-desfile","<h3>ACOMPAÑAMOS A TU PEÑA EN SU DESFILE</h3>","<h3>Vamos con vosotros donde haga farta</h3>"
"pasacalles.las-dianas-floreadas-mas","<h3>LAS DIANAS FLOREADAS MÁS MARCHOSAS</h3>","<h3>No te he hace farta despertador pa tus dianas</h3>"
"pasacalles.disfrazados-para-carnaval","<h3>DISFRAZADOS PARA TU CARNAVAL</h3>","<h3>Carnaval es nuestro segundo apellio&nbsp;</h3>"
"procesiones.seriedad-ante-todo","<h2>SERIEDAD ANTE TODO</h2>","<h2>SERIEDAD ANTE TODDO</h2>"
"sacramentos.quieres-que-boda-sea","<p id=""isPasted""><br></p><p>¿Quieres que tu boda sea recordada como la fiesta del siglo? ¡Pues deja de buscar! Con la Charanga Ponte Una Milnoh, tu fiesta será más animada que un mono con una caja llena de plátanos. ¡Contrátanos y convierte tu enlace en una fiesta que ni el mismísimo Cupido querrá perderse!</p>","<p id=""isPasted""><br></p><p>¿Quieres triunfar en tu boda más que en tu luna de miel? Contrátanos y vas a ver cómo hasta el cura da saltos.</p>"
"switch.label","Ver la página en granaíno","Ver la página en castellano"
